customer_id,customer_name,branch_id,product_id,signup_date,segment,state_code
CUST-000001,Fraser Scott,BR-004,PRD-006,2025-10-13,Emerging,SC
CUST-000002,Levi Nguyen,BR-006,PRD-002,2025-05-25,Mass Affluent,SC
CUST-000003,Audrey Fontaine,BR-002,PRD-001,2024-04-29,Mass Retail,NC
CUST-000004,Wayne Knight,BR-002,PRD-002,2024-11-01,Mass Affluent,NC
CUST-000005,Chetan Arora,BR-005,PRD-002,2025-09-29,Mass Affluent,SC
CUST-000006,Faiz Bajaj,BR-011,PRD-003,2024-08-06,Small Business,FL
CUST-000007,Pedro Hunt,BR-008,PRD-001,2024-11-14,Mass Retail,GA
CUST-000008,Carter Belanger,BR-006,PRD-001,2025-04-21,Mass Retail,SC
CUST-000009,Harold Torres,BR-005,PRD-004,2025-07-22,Affluent,SC
CUST-000010,Raul Nichols,BR-008,PRD-002,2025-10-17,Mass Affluent,GA
CUST-000011,Ellie Hall,BR-005,PRD-002,2025-07-05,Mass Affluent,SC
CUST-000012,Samuel Bailey,BR-007,PRD-003,2024-12-28,Small Business,GA
CUST-000013,Olivia Griffin,BR-010,PRD-006,2026-01-09,Mass Affluent,FL
CUST-000014,Natalie Gardner,BR-011,PRD-003,2025-05-20,Small Business,FL
CUST-000015,Howard Russell,BR-004,PRD-002,2026-03-14,Mass Affluent,SC
CUST-000016,Lucas Beaulieu,BR-005,PRD-001,2025-05-11,Mass Retail,SC
CUST-000017,Salvador Harrison,BR-011,PRD-001,2026-04-25,Mass Retail,FL
CUST-000018,Haley Cooper,BR-007,PRD-001,2024-12-01,Mass Retail,GA
CUST-000019,Natasha Rodriguez,BR-001,PRD-001,2026-01-15,Growth,NC
CUST-000020,Theo Gagne,BR-009,PRD-002,2026-05-09,Mass Retail,GA
CUST-000021,Frank Marshall,BR-003,PRD-001,2025-08-26,Mass Retail,NC
CUST-000022,Noah Alvarez,BR-007,PRD-006,2026-08-20,Mass Retail,GA
CUST-000023,Axel Fox,BR-006,PRD-004,2024-11-08,Affluent,SC
