id,customer_id,id_type,id_category,id_number,id_serial_number,issuing_country_id,issuing_state,issuing_authority,issue_date,expiry_date,is_verified,verification_method,verified_by,verification_date,status,is_primary,is_suspected_fraud,fraud_notes,created_at,updated_at
CID-00000001,CUST-000001,National ID,government,NAT-164393243,SER-628968,1,SC,State DMV,2025-08-23,2033-01-21,True,in_branch_review,system_kyc,2025-10-19,active,True,False,No fraud indicators.,2025-10-16,2026-03-24
CID-00000002,CUST-000001,Passport,travel,PAS-997985756,SER-266402,1,SC,US Department of State,2020-07-04,2026-03-29,True,api_validation,system_kyc,2025-10-22,expired,False,False,No fraud indicators.,2025-10-20,2026-05-01
CID-00000003,CUST-000002,National ID,government,NAT-564393583,SER-169286,1,SC,State DMV,2026-01-27,2031-03-02,True,document_scan,system_kyc,2025-05-31,active,True,False,No fraud indicators.,2025-05-31,2025-12-09
CID-00000004,CUST-000002,Passport,travel,PAS-532280349,SER-475387,1,SC,US Department of State,2018-08-04,2023-11-17,True,api_validation,system_kyc,2025-05-29,expired,False,False,No fraud indicators.,2025-05-26,2025-09-19
CID-00000005,CUST-000003,National ID,government,NAT-871623916,SER-148502,1,NC,State DMV,2011-07-08,2020-04-16,True,document_scan,system_kyc,2024-05-08,expired,True,False,No fraud indicators.,2024-05-04,2024-09-24
CID-00000006,CUST-000003,Passport,travel,PAS-277325598,SER-281653,1,NC,US Department of State,2025-06-15,2031-03-02,True,in_branch_review,system_kyc,2024-05-10,active,False,False,No fraud indicators.,2024-05-06,2024-10-24
CID-00000007,CUST-000004,National ID,government,NAT-735208295,SER-673743,1,NC,State DMV,2019-06-30,2022-09-30,True,document_scan,system_kyc,2024-11-08,expired,True,False,No fraud indicators.,2024-11-05,2025-03-02
CID-00000008,CUST-000004,Passport,travel,PAS-120277399,SER-115041,1,NC,US Department of State,2015-09-29,2024-08-26,True,in_branch_review,system_kyc,2024-11-02,expired,False,False,No fraud indicators.,2024-11-02,2025-06-05
CID-00000009,CUST-000005,National ID,government,NAT-994608517,SER-665056,1,SC,State DMV,2025-02-25,2029-05-08,True,document_scan,system_kyc,2025-10-03,active,True,False,No fraud indicators.,2025-10-03,2025-10-25
CID-00000010,CUST-000005,Passport,travel,PAS-266782473,SER-955560,1,SC,US Department of State,2016-03-26,2023-07-08,True,api_validation,system_kyc,2025-09-30,expired,False,False,No fraud indicators.,2025-09-29,2025-12-05
CID-00000011,CUST-000006,National ID,government,NAT-305369711,SER-373706,1,FL,State DMV,2016-04-19,2022-02-22,True,document_scan,system_kyc,2024-08-11,expired,True,False,No fraud indicators.,2024-08-10,2024-12-10
CID-00000012,CUST-000006,Passport,travel,PAS-226929275,SER-111235,1,FL,US Department of State,2023-05-30,2030-12-26,True,in_branch_review,system_kyc,2024-08-16,active,False,False,No fraud indicators.,2024-08-15,2025-03-20
CID-00000013,CUST-000007,National ID,government,NAT-615182927,SER-177070,1,GA,State DMV,2013-12-07,2017-12-01,True,api_validation,system_kyc,2024-11-15,expired,True,False,No fraud indicators.,2024-11-15,2025-01-21
CID-00000014,CUST-000007,Passport,travel,PAS-608893124,SER-583164,1,GA,US Department of State,2017-01-16,2022-11-28,True,in_branch_review,system_kyc,2024-11-17,expired,False,False,No fraud indicators.,2024-11-16,2025-04-16
CID-00000015,CUST-000008,National ID,government,NAT-344089098,SER-567762,1,SC,State DMV,2022-08-23,2029-07-24,True,document_scan,system_kyc,2025-05-03,active,True,False,No fraud indicators.,2025-04-29,2025-08-17
CID-00000016,CUST-000008,Passport,travel,PAS-743161593,SER-816937,1,SC,US Department of State,2020-10-13,2024-01-15,True,in_branch_review,system_kyc,2025-04-25,expired,False,False,No fraud indicators.,2025-04-25,2025-07-21
