id,customer_id,date_of_birth,place_of_birth,country_of_birth_id,gender_id,marital_status_id,citizenship_country_id,dual_citizenship_flag,ssn_last4,tin,itin,is_politically_exposed,pep_details,annual_income_range,net_worth_range,source_of_wealth_summary,primary_language_id,secondary_language_id,high_risk_flag,risk_reason,is_deceased,date_of_death,created_at,updated_at
CPD-0000001,CUST-000001,1998-01-29,Jacksonville,2,2,1,2,False,7974,TIN-237219857,ITIN-467519885,False,No PEP match found.,50k-75k,50k-150k,Salary,1,,False,Standard retail risk.,False,,2025-10-14,2025-10-19
CPD-0000002,CUST-000002,2008-01-20,Atlanta,3,1,2,3,False,9802,TIN-274046823,ITIN-474510071,False,No PEP match found.,120k-200k,<50k,Business income,1,,False,Standard retail risk.,False,,2025-05-26,2025-09-14
CPD-0000003,CUST-000003,1958-05-24,Columbia,3,2,1,3,False,0619,TIN-381992869,ITIN-838929943,False,No PEP match found.,75k-120k,150k-500k,Inheritance,1,,False,Standard retail risk.,False,,2024-05-01,2024-10-10
CPD-0000004,CUST-000004,2001-05-02,Jacksonville,1,2,1,1,False,0829,TIN-745767578,ITIN-496894264,False,No PEP match found.,75k-120k,<50k,Inheritance,3,1.0,False,Standard retail risk.,False,,2024-11-03,2025-01-12
CPD-0000005,CUST-000005,1974-04-03,Jacksonville,4,1,2,4,False,4490,TIN-627523258,ITIN-287628114,False,No PEP match found.,120k-200k,500k-1m,Salary,1,,False,Standard retail risk.,False,,2025-09-29,2026-01-28
CPD-0000006,CUST-000006,1990-10-01,Raleigh,4,1,1,4,False,4353,TIN-616585786,ITIN-152608846,False,No PEP match found.,120k-200k,50k-150k,Salary,1,,False,Standard retail risk.,False,,2024-08-06,2024-12-26
CPD-0000007,CUST-000007,1963-10-21,Atlanta,1,2,2,1,False,7456,TIN-788331652,ITIN-617327156,False,No PEP match found.,75k-120k,50k-150k,Inheritance,1,,False,Standard retail risk.,False,,2024-11-18,2025-02-08
CPD-0000008,CUST-000008,1954-10-19,Atlanta,3,1,2,3,False,6753,TIN-185935070,ITIN-965871689,False,No PEP match found.,75k-120k,150k-500k,Savings and investments,1,,False,Standard retail risk.,False,,2025-04-23,2025-05-29
CPD-0000009,CUST-000009,1974-02-26,Miami,1,2,2,1,False,9626,TIN-386186053,ITIN-569275171,False,No PEP match found.,50k-75k,150k-500k,Business income,2,1.0,False,Standard retail risk.,False,,2025-07-22,2025-11-30
CPD-0000010,CUST-000010,1981-04-08,Columbia,1,1,2,1,False,0500,TIN-484686271,ITIN-227337646,False,No PEP match found.,50k-75k,1m+,Savings and investments,1,,False,Standard retail risk.,False,,2025-10-20,2026-04-09
CPD-0000011,CUST-000011,1949-09-30,Miami,1,1,2,1,False,4262,TIN-329688009,ITIN-153877882,False,No PEP match found.,120k-200k,150k-500k,Salary,2,1.0,False,Standard retail risk.,False,,2025-07-05,2025-10-06
CPD-0000012,CUST-000012,1946-07-28,Jacksonville,2,2,1,2,False,2306,TIN-286635587,ITIN-571404131,False,No PEP match found.,50k-75k,50k-150k,Savings and investments,1,,False,Standard retail risk.,False,,2024-12-28,2025-05-02
CPD-0000013,CUST-000013,1998-12-21,Atlanta,2,2,2,2,False,9956,TIN-810147950,ITIN-215725692,False,No PEP match found.,75k-120k,50k-150k,Savings and investments,1,,False,Standard retail risk.,False,,2026-01-10,2026-04-16
CPD-0000014,CUST-000014,2003-11-26,Miami,1,2,3,1,False,1668,TIN-162649901,ITIN-952973436,False,No PEP match found.,120k-200k,150k-500k,Business income,1,,False,Standard retail risk.,False,,2025-05-21,2025-09-09
CPD-0000015,CUST-000015,2007-12-24,Miami,1,2,1,1,False,8473,TIN-195233074,ITIN-183818732,False,No PEP match found.,120k-200k,50k-150k,Savings and investments,1,2.0,False,Standard retail risk.,False,,2026-03-15,2026-04-01
CPD-0000016,CUST-000016,1956-10-31,Atlanta,3,1,2,3,False,0826,TIN-404228074,ITIN-272384249,False,No PEP match found.,25k-50k,50k-150k,Inheritance,1,,False,Standard retail risk.,False,,2025-05-11,2025-09-23
CPD-0000017,CUST-000017,1961-12-20,Charlotte,1,2,1,1,False,6901,TIN-522178547,ITIN-457692433,False,No PEP match found.,50k-75k,<50k,Inheritance,1,,False,Standard retail risk.,False,,2026-04-26,2026-05-01
CPD-0000018,CUST-000018,1973-12-18,Jacksonville,2,2,2,2,False,4575,TIN-869040761,ITIN-380288903,False,No PEP match found.,120k-200k,50k-150k,Salary,1,,False,Standard retail risk.,False,,2024-12-04,2024-12-18
CPD-0000019,CUST-000019,1959-10-07,Jacksonville,1,1,1,1,False,5796,TIN-755971004,ITIN-898913057,False,No PEP match found.,25k-50k,50k-150k,Business income,1,,False,Standard retail risk.,False,,2026-01-19,2026-02-25
CPD-0000020,CUST-000020,1996-02-02,Charlotte,2,2,2,2,False,8069,TIN-183474158,ITIN-889278642,False,No PEP match found.,75k-120k,50k-150k,Salary,2,1.0,False,Standard retail risk.,False,,2026-05-10,2026-05-01
CPD-0000021,CUST-000021,2001-06-06,Atlanta,1,1,3,1,False,5787,TIN-994850805,ITIN-912378898,False,No PEP match found.,75k-120k,<50k,Savings and investments,1,,False,Standard retail risk.,False,,2025-08-28,2025-11-10
CPD-0000022,CUST-000022,1954-06-18,Charlotte,1,2,2,1,False,1872,TIN-997579667,ITIN-415268057,False,No PEP match found.,75k-120k,150k-500k,Savings and investments,1,,False,Standard retail risk.,False,,2026-08-20,2026-05-01
CPD-0000023,CUST-000023,1949-10-19,Jacksonville,1,2,1,1,False,6196,TIN-832240727,ITIN-809073955,False,No PEP match found.,50k-75k,500k-1m,Salary,1,,True,KYC quality exception,False,,2024-11-08,2024-12-16
CPD-0000024,CUST-000024,2002-01-24,Miami,4,1,2,4,False,6469,TIN-390783516,ITIN-160858006,False,No PEP match found.,75k-120k,<50k,Inheritance,1,,False,Standard retail risk.,False,,2025-01-27,2025-04-10
CPD-0000025,CUST-000025,1997-08-25,Miami,4,1,1,4,False,7302,TIN-993020387,ITIN-789430064,False,No PEP match found.,25k-50k,<50k,Business income,1,,False,Standard retail risk.,False,,2024-07-30,2024-08-06
CPD-0000026,CUST-000026,1976-03-05,Raleigh,1,2,2,1,False,4861,TIN-739255730,ITIN-318501086,False,No PEP match found.,25k-50k,<50k,Inheritance,1,2.0,False,Standard retail risk.,False,,2024-06-17,2024-10-26
CPD-0000027,CUST-000027,1985-07-17,Jacksonville,4,1,2,4,False,5120,TIN-946244532,ITIN-631483666,False,No PEP match found.,75k-120k,<50k,Salary,1,,False,Standard retail risk.,False,,2026-09-22,2026-05-01
CPD-0000028,CUST-000028,1989-11-02,Miami,1,1,2,1,False,3032,TIN-748126401,ITIN-232437355,False,No PEP match found.,120k-200k,<50k,Savings and investments,1,,False,Standard retail risk.,False,,2026-04-22,2026-05-01
CPD-0000029,CUST-000029,1959-01-25,Miami,1,2,1,1,False,5094,TIN-637370376,ITIN-345819890,False,No PEP match found.,75k-120k,50k-150k,Inheritance,1,3.0,False,Standard retail risk.,False,,2025-03-28,2025-05-05
CPD-0000030,CUST-000030,1981-04-06,Columbia,1,1,2,1,False,7752,TIN-944633133,ITIN-112575447,False,No PEP match found.,50k-75k,500k-1m,Business income,1,,False,Standard retail risk.,False,,2026-01-30,2026-05-01
CPD-0000031,CUST-000031,1975-07-31,Atlanta,3,1,1,3,False,0298,TIN-824156672,ITIN-820577389,False,No PEP match found.,25k-50k,150k-500k,Inheritance,1,,False,Standard retail risk.,False,,2024-05-31,2024-09-30
CPD-0000032,CUST-000032,1941-10-07,Miami,1,1,1,1,False,9046,TIN-512252686,ITIN-715989337,False,No PEP match found.,120k-200k,50k-150k,Business income,1,,False,Standard retail risk.,False,,2024-02-14,2024-04-22
CPD-0000033,CUST-000033,1990-07-08,Charlotte,3,2,1,3,True,7046,TIN-842052309,ITIN-757066795,False,No PEP match found.,120k-200k,1m+,Business income,1,,False,Standard retail risk.,False,,2025-05-09,2025-08-06
CPD-0000034,CUST-000034,1955-07-04,Columbia,1,3,1,1,False,0760,TIN-136449056,ITIN-943432722,False,No PEP match found.,25k-50k,<50k,Business income,1,,False,Standard retail risk.,False,,2025-05-13,2025-07-28
CPD-0000035,CUST-000035,2001-07-28,Atlanta,3,2,1,3,False,1781,TIN-788599488,ITIN-359548032,False,No PEP match found.,120k-200k,1m+,Inheritance,1,,False,Standard retail risk.,False,,2026-04-26,2026-05-01
CPD-0000036,CUST-000036,1976-07-14,Jacksonville,1,1,2,1,False,0188,TIN-794400054,ITIN-656266453,False,No PEP match found.,200k+,<50k,Inheritance,1,,False,Standard retail risk.,False,,2025-11-05,2026-05-01
CPD-0000037,CUST-000037,1950-02-19,Columbia,2,1,2,2,False,1220,TIN-306004435,ITIN-370287701,False,No PEP match found.,50k-75k,50k-150k,Savings and investments,2,1.0,False,Standard retail risk.,False,,2025-01-05,2025-01-09
CPD-0000038,CUST-000038,1961-05-18,Columbia,1,2,2,1,False,6813,TIN-994515881,ITIN-595683002,False,No PEP match found.,50k-75k,<50k,Savings and investments,1,,False,Standard retail risk.,False,,2024-12-07,2025-05-12
CPD-0000039,CUST-000039,1962-08-15,Atlanta,1,2,1,1,False,0296,TIN-715343028,ITIN-544124356,False,No PEP match found.,50k-75k,50k-150k,Salary,1,,False,Standard retail risk.,False,,2026-02-13,2026-05-01
CPD-0000040,CUST-000040,1959-10-17,Charlotte,1,2,1,1,False,7461,TIN-566368533,ITIN-122035097,False,No PEP match found.,50k-75k,150k-500k,Business income,1,2.0,False,Standard retail risk.,False,,2026-07-03,2026-05-01
CPD-0000041,CUST-000041,2007-09-08,Miami,1,2,1,1,False,3034,TIN-843457119,ITIN-733502520,False,No PEP match found.,50k-75k,150k-500k,Business income,1,,False,Standard retail risk.,False,,2026-05-06,2026-05-01
CPD-0000042,CUST-000042,1961-12-25,Raleigh,1,2,3,1,False,0713,TIN-555182449,ITIN-482788907,False,No PEP match found.,25k-50k,50k-150k,Inheritance,1,,False,Standard retail risk.,False,,2025-06-19,2025-11-19
CPD-0000043,CUST-000043,1998-06-04,Atlanta,1,3,2,1,False,4543,TIN-679184620,ITIN-987931067,False,No PEP match found.,50k-75k,150k-500k,Business income,1,,False,Standard retail risk.,False,,2026-07-10,2026-05-01
